Table ID,Sourcing_competitor,Common_sources,Restaurant_name,Tags,Average basket value,Country,City_code,Address,Latitude,Longitude,Phone_number,Rating,Number_of_reviews,Website,URL,Postal_code,Opening_hours,Place ID,user_ratings_total,google_grade,competitor_grade1(%),competitor_grade2(%),competitor_grade3(%)
124821,sourcing_tripadvisor,sourcing_tripadvisor,Restoran Kalvarija,"Mediterranean, European, Wine Bar, Eastern European, Croatian, Central European",,Croatia,KAR,Vucjak 3,45.494564,15.508611,+385 98 699 001,5,109,,,,Fri - Sun|12:00 PM - 12:00 AM,ChIJG-W5u_U-ZEcRHFx95ep7PCM,242,4.8,-,-,-
124822,sourcing_tripadvisor,sourcing_tripadvisor,Bistro Kastel,"European, Croatian, Central European",,Croatia,KAR,Zagrad  Gaj 5 Stari grad Dubovac,45.495041,15.528073,+385 47 658 922,5,98,,,,Sun - Thu|10:00 AM - 11:00 PM|Fri - Sat|10:00 AM - 11:30 PM,ChIJI_BzCoY-ZEcRwqHWrQut8O8,603,4.7,-,-,-
124823,sourcing_tripadvisor,sourcing_tripadvisor,Konoba Kostanjac,,,Croatia,KAR,Janka Drashkovica 1,45.495739,15.554408,+385 47 613 740,4.5,156,,,,Mon - Thu|9:00 AM - 10:00 PM|Fri - Sat|9:00 AM - 11:00 PM,ChIJ8dZRDjA8ZEcR2ZSnPf8OPVk,553,4.5,-,-,-
124824,sourcing_tripadvisor,sourcing_tripadvisor,Restoran M-90,"Seafood, Mediterranean, Grill, Croatian, Central European, European",,Croatia,KAR,Zagrebacka ul. Bb Iza benzinske postaje INA,45.521683,15.548095,+385 47 637 644,5,45,,,,Sun|12:00 AM - 6:00 PM|Mon - Sat|10:00 AM - 10:00 PM,ChIJK1eCB6w-ZEcRdH2FDzBOMxU,205,4.7,-,-,-
124825,sourcing_tripadvisor,sourcing_tripadvisor,Tiffany,"Italian, Pizza, European, Croatian",,Croatia,KAR,Dr.Vladka Macheka 6/1,45.492672,15.548914,+385 47 614 666,4,154,,,,,ChIJ4zQfei48ZEcR8BygOVCctEY,1911,4.6,-,-,-
124826,sourcing_tripadvisor,sourcing_tripadvisor,Konoba Zec tavern,"Steakhouse, Croatian, Mediterranean, Barbecue, European",,Croatia,KAR,Mirka Bogovica 2,45.501171,15.550663,+385 47 645 455,4.5,29,,,,,ChIJM-pZAyQ8ZEcRyQWiEWtLCu0,414,4.4,-,-,-
124827,sourcing_tripadvisor,sourcing_tripadvisor,Mandic,"Barbecue, Croatian, Steakhouse, European",,Croatia,KAR,Jamadolska 2,45.486912,15.53683,+385 47 415 490,4.5,23,,,,,ChIJJRi6dNU9ZEcRfvQV3GpmMkM,796,4.7,-,-,-
124828,sourcing_tripadvisor,sourcing_tripadvisor,SuperGrill Kod Sladica,"Barbecue, Croatian",,Croatia,KAR,Janka Drashkovica 3,45.495651,15.55471,+385 47 600 542,4.5,25,,,,Sun - Sat|7:00 AM - 11:00 PM,ChIJB61wEjA8ZEcRTa5HJdMjK-Y,205,4.4,-,-,-
124829,sourcing_tripadvisor,sourcing_tripadvisor,Su Su Pub,"Pizza, European, Croatian",,Croatia,KAR,Vladimira Nazora 4,45.49142800000001,15.549376,+385 95 599 3525,4.5,30,,,,Sun - Thu|8:00 AM - 11:00 PM|Fri - Sat|8:00 AM - 11:30 PM,ChIJ33m8STgAZUcRQmVDHK12mOw,2,5,-,-,-
124830,sourcing_tripadvisor,sourcing_tripadvisor,Petric Restoran Lovacki Rog,"European, Croatian, Eastern European, Central European",,Croatia,KAR,Zagrebacka ulica 146,45.539211,15.573345,+385 47 637 675,4.5,29,,,,Mon - Fri|10:00 AM - 10:00 PM|Sat - Sun|11:00 AM - 11:00 PM,ChIJS9YF4eY7ZEcRfKxYQmSSqtw,575,4.6,-,-,-
